waiting for 1 second sample...
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  12   2  4545  13977 225M 528M  36G  19G   1G   1G 187136   1462     20      5 
   7   1  2859   6402 219M 528M  36G  19G   1G   1G 103536    868     16      3 
   8   1  3105  10737 219M 527M  36G  19G   1G   1G 101344    792   6156     13 
   5   1  2324   6845 206M 527M  36G  19G   1G   1G  70880    561   1616     47 
  11   2  3680  11696 225M 527M  36G  19G   1G   1G 126416   1029    112      6 
  11   2  3579   8924 208M 527M  36G  19G   1G   1G 127376   1097     36      4 
  10   1  3803  10786 212M 527M  36G  19G   1G   1G 137872   1082     88      7 
   1   0   877   1681 217M 526M  36G  19G   1G   1G  30124    261      4      1 
   4   0  1182   1941 222M 526M  36G  19G   1G   1G  25848    258   6784     56 
   1   0  1197   2370 202M 526M  36G  19G   1G   1G  17088    147   5444    106 
   7   1  2475   7105 223M 526M  36G  19G   1G   1G  61080    509    136      6 
   2   0  1670   3836 218M 525M  36G  19G   1G   1G  29160    250     44      6 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   1   0   925   1989 219M 525M  36G  19G   1G   1G  31284    265      0      0 
Ouch!
