Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1547771700.613134,110177,5,0
5,StockLevel,1547771700.621974,3266,8,0
1,NewOrder,1547771700.625252,21711,8,0
1,NewOrder,1547771700.629966,25384,0,0
2,Payment,1547771700.638623,160719,1,0
1,NewOrder,1547771700.646976,16919,8,0
1,NewOrder,1547771700.655363,25661,0,0
1,NewOrder,1547771700.655473,25629,2,0
2,Payment,1547771700.663912,67845,8,0
2,Payment,1547771700.672662,152286,4,0
1,NewOrder,1547771700.681036,25700,0,0
1,NewOrder,1547771700.681116,16826,2,0
1,NewOrder,1547771700.689496,25469,9,0
2,Payment,1547771700.697956,67685,2,0
2,Payment,1547771700.706623,67631,6,0
3,OrderStatus,1547771700.706749,4606,0,0
2,Payment,1547771700.711372,37454,0,0
2,Payment,1547771700.714977,118465,9,0
1,NewOrder,1547771700.723327,16839,5,0
1,NewOrder,1547771700.731767,25271,8,0
2,Payment,1547771700.740177,177643,5,0
2,Payment,1547771700.748839,135570,0,0
1,NewOrder,1547771700.757051,25658,8,0
1,NewOrder,1547771700.765656,25347,2,0
2,Payment,1547771700.774268,84696,6,0
2,Payment,1547771700.782720,25092,8,0
2,Payment,1547771700.791012,84458,2,0
2,Payment,1547771700.791123,101528,3,0
1,NewOrder,1547771700.799372,16883,1,0
1,NewOrder,1547771700.807820,17016,8,0
2,Payment,1547771700.816265,93204,1,0
2,Payment,1547771700.824845,160587,8,0
3,OrderStatus,1547771700.824957,3381,4,0
2,Payment,1547771700.828347,207896,4,0
1,NewOrder,1547771700.833459,33409,9,0
1,NewOrder,1547771700.858974,16483,6,0
2,Payment,1547771700.866883,67909,9,0
1,NewOrder,1547771700.875469,25639,6,0
2,Payment,1547771700.875481,101573,2,0
3,OrderStatus,1547771700.884421,3317,0,0
2,Payment,1547771700.887749,387110,0,0
2,Payment,1547771700.892665,33493,3,0
2,Payment,1547771700.901118,59040,6,0
3,OrderStatus,1547771700.909484,3221,1,0
2,Payment,1547771700.912714,200375,1,0
1,NewOrder,1547771700.917833,25488,5,0
1,NewOrder,1547771700.926167,17023,3,0
2,Payment,1547771700.934804,135412,9,0
2,Payment,1547771700.943200,109724,3,0
3,OrderStatus,1547771700.943331,2487,5,0
2,Payment,1547771700.945828,56439,5,0
1,NewOrder,1547771700.951787,16705,7,0
2,Payment,1547771700.960169,33795,6,0
2,Payment,1547771700.968500,50863,7,0
2,Payment,1547771700.977063,118745,2,0
1,NewOrder,1547771700.985443,25509,8,0
1,NewOrder,1547771700.993977,25485,6,0
3,OrderStatus,1547771701.002281,2184,5,0
2,Payment,1547771701.004474,304586,5,0
1,NewOrder,1547771701.010974,16819,8,0
2,Payment,1547771701.019374,264128,7,0
