waiting for 1 second sample...
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   1   0  5261   9318 218M 359M  32G  26G   1G   4G    664     58  54884    180 
   4   2 11463  24204 238M 359M  32G  26G   1G   4G    956     89  51664    168 
   0   0  3108   3840 237M 359M  32G  26G   1G   4G    348     13  53104    170 
   0   0  3424   4140 236M 359M  32G  26G   1G   4G     48      7  58112    185 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0  3284   3963 236M 359M  32G  26G   1G   4G    564     24  45184    145 
   0   0  3171   3862 236M 359M  32G  26G   1G   4G     60     14  56056    186 
   0   0  2976   3592 236M 359M  32G  26G   1G   4G    552     10  50508    161 
   0   0  3135   3863 237M 359M  32G  26G   1G   4G    372     18  51332    167 
   0   0  3172   3969 237M 359M  32G  26G   1G   4G     88     15  57996    190 
   0   0  2888   3516 238M 359M  32G  26G   1G   4G     44     10  53664    174 
   0   0  3064   3973 238M 359M  32G  26G   1G   4G    916     71  54704    190 
   0   0  2723   3590 238M 359M  32G  26G   1G   4G    288      7  52576    172 
   2   0  2994   3934 238M 359M  32G  26G   1G   4G    304      8  54752    183 
   0   0  3066   4024 239M 359M  32G  26G   1G   4G    296      7  51524    179 
   3   1  4455   5926 229M 359M  32G  26G   1G   4G  59960    497  17196    243 
   9   2  6163   9291 224M 359M  32G  27G   1G   4G 151480   1202   2740    100 
   9   3  6271   9078 217M 359M  32G  27G   1G   4G 161368   1280    676     93 
  10   2  6248   9553 236M 359M  32G  27G   1G   4G 156468   1242    612     76 
   9   2  6241   9423 225M 359M  32G  27G   1G   4G 144256   1158    660     77 
   7   2  5902   8514 230M 359M  32G  27G   1G   4G 140448   1115    980     69 
   8   2  6330   9266 214M 359M  32G  27G   1G   4G 144540   1190   2316     95 
   9   3  6394   9491 217M 359M  32G  27G   1G   4G 163804   1295    648     87 
   9   3  6338   9450 217M 359M  32G  27G   1G   4G 162788   1294    532     62 
  11   3  6575   9723 212M 359M  32G  27G   1G   4G 155876   1243    604     75 
   8   2  6002   8973 219M 359M  32G  27G   1G   4G 136984   1103   1400     73 
   8   3  5920   8249 221M 359M  32G  27G   1G   4G 136068   1086   2124     69 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   9   2  6206   8730 221M 359M  32G  27G   1G   4G 155932   1229    700     91 
   9   3  6232   8864 226M 359M  32G  27G   1G   4G 152352   1204    620     85 
   9   2  6593   9461 234M 359M  32G  27G   1G   4G 163636   1297    700     84 
   7   2  5572   8039 218M 359M  32G  27G   1G   4G 125984    999   1564     59 
   9   3  6309   8937 223M 359M  32G  27G   1G   4G 145136   1202   2344    115 
  11   3 10802  21732 207M 359M  32G  27G   1G   4G 153400   1246    764     93 
  12   4 10640  20225 215M 359M  32G  27G   1G   4G 149288   1238    540     66 
   8   2  6348   9266 223M 359M  32G  27G   1G   4G 148848   1183    656     86 
   8   2  5588   8212 228M 359M  32G  27G   1G   4G 128592   1043   2416     84 
   9   2  6225   8963 212M 359M  32G  27G   1G   4G 153888   1216   2088     75 
   9   3  6126   8719 221M 359M  32G  27G   1G   4G 153508   1215    444     65 
  10   3  6193   8935 224M 359M  32G  27G   1G   4G 148836   1184    472     60 
   9   3  6233   9262 222M 359M  32G  27G   1G   4G 138452   1110    628     84 
   8   2  5941   8315 222M 359M  32G  27G   1G   4G 145576   1152   3204     93 
   8   3  6258   9118 204M 359M  32G  27G   1G   4G 146760   1221   2428     94 
   9   3  6161   9286 220M 359M  32G  27G   1G   4G 158256   1255    672     80 
   9   2  5844   8394 228M 359M  32G  27G   1G   4G 134164   1062    544     70 
   9   2  6271   8913 226M 359M  32G  27G   1G   4G 145320   1155    616     72 
   8   2  6024   8411 220M 359M  32G  27G   1G   4G 142416   1159   4528     96 
   9   2  6122   8785 226M 359M  32G  27G   1G   4G 146728   1164   2488    105 
   9   3  5806   8514 220M 359M  32G  27G   1G   4G 142864   1137    508     67 
  10   3  6289   9113 222M 359M  32G  27G   1G   4G 160080   1272    640     85 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  10   3  6657   9459 209M 359M  32G  27G   1G   4G 154920   1225    604     75 
   4   1  4269   5543 219M 359M  32G  27G   1G   4G  59932    479  26284    117 
   0   0  4119   5038 217M 359M  32G  27G   1G   4G   2800    567  53648    163 
   0   0  2965   3573 217M 359M  32G  27G   1G   4G    440     13  44236    128 
   0   0  3093   3571 217M 359M  32G  27G   1G   4G    340     13  45376    132 
   0   0  3331   4075 217M 359M  32G  27G   1G   4G    220     21  49472    145 
   0   0  3075   3573 217M 359M  32G  27G   1G   4G    384     32  40624    122 
   0   0  3237   3701 217M 359M  32G  27G   1G   4G    296     12  49208    150 
   0   0  3044   3487 217M 359M  32G  27G   1G   4G    288     10  46924    136 
   0   0  3170   3653 217M 359M  32G  27G   1G   4G    312     11  47104    142 
   0   0  3384   3971 217M 359M  32G  27G   1G   4G    304     13  43684    131 
   0   0  3189   3673 216M 360M  32G  27G   1G   4G    296     12  48812    149 
   0   0  3333   3915 215M 360M  32G  27G   1G   4G    664     66  43040    136 
   0   0  3042   3635 214M 360M  32G  27G   1G   4G    696     15  49488    145 
   4   1 10352  22587 198M 360M  32G  27G   1G   4G    816    121  50432    152 
   2   1  6099  10297 245M 361M  32G  27G   1G   4G   6848     90  24264    269 
   0   0  3078   3643 244M 361M  32G  27G   1G   4G    404     36  48604    149 
Ouch!
